index,Population_Density,Unemployment_Rate,Police_Station_Distance,Number_of_Schools,Average_Income,Age_Group_Ratio_15_24,Age_Group_Ratio_25_44,Age_Group_Ratio_45_plus,Poverty_Rate,School_Dropout_Rate,Housing_Quality,Access_to_Public_Transport,Recreational_Facilities,Single_Parent_Household_Rate,CCTV_Cameras,Drug_Hospital_Admissions,Police_Patrol_Frequency,Emergency_Response_Time,Youth_Unemployment_Rate,Alcohol_Outlet_Density,Distance_to_High_Risk_Areas,Mental_Health_Services,Total_Crime_in_Month
43,38121,69.8,17.7,8,48549,48.0,33.1,18.9,19.2,64.3,10.9,1.2,68,25.6,85,72,7,1.3,100.0,94,9.851833332709525,60,65
44,4557,70.2,11.1,62,29365,41.9,18.5,39.7,29.1,21.8,58.1,6.1,32,47.1,70,1,153,21.9,100.0,45,7.7821789649521,35,53
45,27455,91.6,10.3,175,26395,17.4,57.1,25.5,33.0,53.9,65.6,6.4,54,69.2,77,8,29,37.6,100.0,40,21.875581621707543,3,88
46,21270,7.0,27.4,246,18472,71.3,14.6,14.1,96.9,2.9,52.6,9.4,57,94.9,15,24,130,63.5,14.4,32,5.301434374807304,47,27
47,28851,27.8,6.6,50,45823,58.2,8.7,33.0,96.2,12.6,92.5,7.0,95,3.5,46,39,179,60.7,72.6,10,3.8781231325546113,40,50
48,6565,22.7,14.4,147,14981,35.2,8.6,56.2,20.7,82.3,37.8,7.7,48,31.4,86,7,149,70.6,37.6,30,14.677641154316868,55,7
49,27980,75.1,2.7,25,25736,40.3,21.5,38.2,68.3,78.4,25.6,6.1,88,63.0,72,33,136,47.4,100.0,11,22.36744021378582,67,77
50,45406,34.5,18.4,239,20036,89.8,9.6,0.6,34.0,61.1,93.8,5.3,50,32.7,85,91,179,29.4,53.1,54,10.451172691531102,23,40
51,42067,82.6,26.7,166,17108,45.3,41.8,12.9,54.5,79.5,80.4,4.8,52,96.1,95,74,141,23.3,100.0,62,19.464181889766927,68,71
52,7659,56.9,18.2,60,33227,49.4,43.9,6.7,45.3,59.7,98.9,9.7,31,96.0,98,78,171,17.7,100.0,71,13.460215158232812,29,67
53,6127,42.8,18.6,245,36085,3.3,61.2,35.5,70.1,3.9,24.3,7.7,72,55.3,4,74,143,30.4,100.0,74,17.28735002252234,35,60
54,16542,24.7,20.2,184,38200,13.0,63.5,23.5,61.7,38.6,15.7,6.9,50,71.0,3,71,88,43.7,57.7,8,6.896900334719635,79,25
55,22271,52.0,14.2,14,31958,27.6,71.2,1.2,76.8,50.2,49.9,3.3,64,5.7,39,80,10,89.5,100.0,43,23.755437385767856,69,78
56,39339,8.7,10.4,2,22918,15.9,15.1,69.0,49.6,17.7,29.4,9.9,50,82.3,5,21,112,96.1,14.7,96,5.184891848245854,25,3
57,5356,21.1,26.4,217,41814,31.3,10.4,58.3,79.2,78.4,68.8,3.6,78,51.8,39,22,150,81.7,62.4,2,4.784007224780626,31,28
58,48484,64.2,10.3,232,30776,33.9,23.2,42.9,89.7,45.8,68.4,2.4,69,32.8,84,44,60,6.7,72.2,14,7.756840045732383,27,81
59,22452,13.3,2.9,114,48757,4.5,22.0,73.5,28.6,8.8,61.5,7.7,70,23.7,72,71,74,94.6,29.8,96,12.42854022013757,87,40
60,17084,95.9,3.7,86,14070,44.9,54.9,0.2,25.4,81.9,61.4,4.3,98,95.5,69,11,123,10.2,100.0,53,13.47128734103141,77,69
61,8113,69.7,18.6,47,16679,70.1,2.2,27.7,93.1,5.9,49.2,3.9,38,56.8,32,60,10,66.0,100.0,73,7.209906785348166,97,101
62,22248,12.6,30.0,65,43250,61.6,16.4,22.0,60.3,2.2,80.0,7.1,65,4.5,58,47,72,25.8,15.0,34,16.54474899702845,73,34
63,10766,16.6,2.1,147,27985,2.3,58.1,39.6,40.1,36.2,13.0,2.4,88,74.5,60,54,171,40.6,24.9,26,19.285210554865262,85,14
64,39225,55.7,26.4,202,33870,74.7,11.9,13.4,39.9,96.2,31.3,6.4,93,63.4,53,57,102,59.0,100.0,7,15.957500999163802,32,55
65,49146,75.7,17.8,230,43747,36.6,52.4,10.9,64.3,61.7,70.3,6.9,59,42.7,80,37,2,57.7,100.0,3,10.993112996418535,8,73
66,6215,15.7,8.9,217,13203,22.3,43.1,34.5,12.3,1.9,4.8,2.0,49,83.8,99,70,195,99.3,16.6,1,21.527139771277717,61,0
67,3531,77.5,7.2,244,26338,29.0,50.7,20.4,89.0,34.7,35.0,5.7,39,39.2,53,22,187,90.6,100.0,83,16.520737085980354,97,77
68,49237,37.3,20.7,47,32381,4.4,42.7,52.9,76.0,48.2,11.5,3.8,98,64.8,1,87,138,83.1,91.0,48,3.971293613415103,91,69
69,12737,72.6,12.4,208,30388,13.4,72.2,14.4,4.5,86.1,56.1,8.5,77,18.2,8,20,167,51.9,100.0,4,14.93995992233765,23,34
70,11524,69.8,1.0,134,36289,8.1,54.8,37.1,2.7,47.5,63.4,5.9,75,45.8,8,97,1,77.4,99.4,3,22.29021230471397,50,62
71,29402,36.4,22.4,23,23364,38.7,19.9,41.4,79.1,84.9,6.0,1.3,35,91.4,73,83,127,27.1,95.0,58,6.100333501732263,9,62
72,3463,34.4,25.3,41,35873,28.3,19.6,52.1,70.5,63.7,63.2,1.2,48,38.1,31,26,112,49.4,94.2,55,16.94441894015526,36,52
73,20000,20.1,7.9,188,39855,26.1,10.2,63.6,8.2,50.5,66.6,5.5,54,48.3,28,81,17,92.7,37.4,84,21.219096642884026,45,52
74,25833,23.7,18.7,2,31208,55.5,13.0,31.4,60.0,48.5,72.7,6.3,96,14.1,61,56,80,58.4,59.5,84,5.003434262548697,68,68
75,9608,98.1,28.6,98,31653,39.6,56.7,3.7,77.7,84.0,21.6,6.4,64,50.7,13,4,60,75.5,100.0,6,11.2124007050827,45,80
76,8807,32.1,1.8,220,42436,11.8,73.2,15.0,57.3,94.6,72.5,5.7,87,93.9,14,98,116,82.7,42.3,98,2.1082225417772227,9,50
77,30890,65.1,7.1,145,45370,11.8,37.6,50.6,49.7,21.8,98.4,3.6,68,56.5,44,72,17,84.3,68.0,53,6.157783344130096,33,76
78,41920,65.0,12.6,130,13220,3.6,94.7,1.7,49.5,60.7,45.6,7.6,84,41.0,51,93,55,43.6,100.0,98,2.30924778133953,68,75
79,33729,75.1,11.2,230,14467,6.2,22.4,71.4,68.3,94.9,75.0,6.0,40,31.5,35,67,125,38.8,100.0,25,2.030528068270656,48,67
80,39391,86.8,26.8,228,14520,70.2,13.4,16.4,19.2,96.1,96.1,9.8,48,51.5,20,81,60,48.7,100.0,59,1.8970505320293756,87,69
81,11470,25.4,13.6,34,44994,31.0,30.1,38.9,1.3,48.8,18.6,3.1,42,14.0,98,63,146,44.6,30.7,88,18.250850839301037,10,12
82,16156,13.5,21.9,2,31570,31.5,12.9,55.6,20.0,67.7,38.0,1.4,98,24.3,10,93,2,61.4,30.1,95,9.766423205441248,89,62
83,39833,1.2,17.6,128,31742,46.1,10.7,43.2,29.6,83.7,40.9,9.4,90,12.7,38,60,111,14.0,1.6,99,13.902228833584982,16,21
84,33031,69.5,19.5,31,34528,32.7,46.0,21.2,45.8,66.1,37.9,3.9,73,23.6,13,92,13,90.0,100.0,74,15.315643176410031,10,77
85,24578,19.4,10.1,242,29235,13.5,25.9,60.6,81.9,81.6,62.6,6.2,35,71.5,6,91,186,74.8,47.8,82,8.166287118511434,40,53
86,36871,17.4,23.7,12,45298,21.7,9.5,68.7,70.4,8.9,74.3,6.4,37,33.9,89,38,36,73.8,51.6,13,7.079717289736136,32,70
87,31937,78.8,5.0,186,12161,27.9,59.9,12.2,21.8,44.6,74.0,4.9,52,17.0,44,4,6,7.1,100.0,99,8.842940924800514,42,76
88,36015,58.3,5.9,64,42113,46.4,41.7,11.9,33.3,50.4,2.0,5.4,40,89.8,91,82,60,48.4,100.0,58,10.592628547335163,97,74
89,47187,98.2,1.7,220,20706,2.0,74.4,23.6,16.0,9.9,5.1,4.7,93,73.5,87,46,54,65.4,100.0,97,22.441421487847187,35,93
90,4832,81.9,16.7,101,24030,35.9,48.5,15.6,28.5,83.3,72.0,2.4,54,13.8,10,38,28,47.0,100.0,75,6.557807095324615,94,86
91,44020,3.2,10.0,230,46073,18.0,47.7,34.3,3.5,71.0,72.3,2.8,34,88.1,16,25,28,73.1,7.0,77,21.889089872387604,26,21
92,27436,30.2,13.3,222,46724,40.6,6.5,52.9,57.2,16.2,16.6,8.0,73,38.3,27,19,135,23.7,89.1,27,9.24378958079558,4,46
93,18794,52.6,28.3,220,22088,86.0,11.4,2.6,74.0,21.7,46.5,2.1,97,23.8,21,47,22,33.8,100.0,59,3.0951322195973585,38,87
94,32016,94.7,5.7,193,23090,1.1,6.2,92.7,67.8,5.1,13.9,9.1,78,14.4,49,50,47,45.8,100.0,10,24.9337949199418,83,83
95,16924,54.0,20.9,241,31803,16.9,82.2,0.8,84.4,70.9,79.1,8.3,74,52.5,57,60,26,18.8,64.8,7,5.8664768323516725,33,77
96,33790,41.8,18.4,36,35756,86.5,0.4,13.1,8.1,3.6,83.8,8.5,38,4.2,76,71,187,15.9,66.1,28,7.404722596623455,74,14
97,20377,71.0,7.7,97,40069,32.6,4.3,63.0,34.0,30.7,3.9,4.2,70,67.6,56,88,49,45.4,100.0,26,2.807587211500616,60,83
98,6930,11.4,20.8,216,45671,16.1,39.0,44.9,49.5,32.4,21.5,6.7,82,31.6,21,47,133,91.6,26.7,37,24.2425437851367,22,22
99,9411,82.0,4.7,59,27872,37.1,17.7,45.1,17.9,27.4,36.0,5.3,32,35.7,8,47,14,90.8,100.0,63,5.195595611428565,88,74
